beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_content,beauty_phone,beauty_score,beauty_hit,beauty_wdate,beauty_update
172,35,카라미용실,서울 서초구 동광로3길 40 (우)06558,hi,02-7069-0097,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
173,27,수헤어샵,서울 동작구 사당로20길 18 (우)07011,hi,02-3627-2441,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
174,28,벗미장,서울 동작구 사당로22길 32 (우)07012,hi,02-8746-0718,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
175,35,자기연출,서울 서초구 동광로9길 15 (우)06560,hi,02-3813-0181,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
176,29,원하다헤어 이수역점,서울 동작구 사당로29길 1 (우)07006,hi,02-6834-3340,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
177,35,허밍미용실,서울 동작구 동작대로33다길 11 (우)06996,hi,02-7412-9647,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
178,29,주정란헤어써클,서울 동작구 동작대로9길 47 (우)07015,hi,02-6266-0126,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
179,35,머리염색체험방 이수점,서울 동작구 동작대로27길 49 (우)07008,hi,02-5774-1546,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
180,35,나쁜여자,서울 동작구 동작대로7길 87 (우)07024,hi,02-5853-6186,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
181,31,리안헤어 낙성대점,서울 관악구 봉천로 614-1 2층 (우)08793,매일 10:00 ~ 21:00,02-5925-5201,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
182,29,메이21,서울 서초구 효령로29길 23 102호 (우)06685,매일 10:00 ~ 21:00,02-7027-7931,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
183,26,아가다헤어,서울 동작구 사당로16길 40 (우)07018,hi,02-8009-7071,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
184,33,아미가,서울 서초구 서초대로25길 62 (우)06586,hi,02-1199-5266,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
185,32,나비효과 사당점,서울 동작구 동작대로29길 53 2층 (우)07008,hi,02-0300-6119,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
186,30,흑장미미용실,서울 서초구 효령로5길 26-5 (우)06690,hi,02-2136-3576,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
187,28,by민정,서울 서초구 효령로 89 (우)06687,hi,02-9085-7543,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
188,34,미니헤어,서울 동작구 동작대로29나길 39 (우)06997,hi,02-3813-8481,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
189,28,준헤어,서울 동작구 사당로17라길 12 (우)07004,hi,02-5825-3660,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
190,32,박선미용실,서울 서초구 방배로 199 (우)06562,hi,02-4353-4254,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
191,30,다온헤어,서울 동작구 사당로22길 32 (우)07012,hi,02-6652-8473,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
192,32,밸라붙임머리,서울 동작구 동작대로17길 20 (우)07013,hi,02-7683-1712,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
193,27,무코,서울 동작구 사당로8길 29 102호 (우)07019,"화,수,금,토,일 11:00 ~ 21:00",02-3962-4247,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
194,28,행복헤어,서울 동작구 동작대로29나길 30 (우)06997,hi,02-1568-3173,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
195,31,하비비헤어샵,서울 동작구 동작대로25길 60 (우)07008,hi,02-0122-1511,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
196,26,강현헤어,서울 서초구 방배중앙로 58 (우)06680,hi,02-8934-1842,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
197,32,천연헤나 샴푸로염색하세요 신타방배동점,서울 서초구 방배로 232 (우)06584,hi,02-5994-1835,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
198,29,현헤어,서울 서초구 동광로18길 25 (우)06562,hi,02-3240-5700,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
199,30,루아헤어,서울 서초구 동광로 75 (우)06584,hi,02-4334-7691,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
200,27,위스138,서울 서초구 동광로 113 (우)06584,hi,02-533-7575,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
201,32,원헤어살롱,서울 동작구 동작대로33가길 5 (우)06996,hi,02-1242-0016,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
202,30,에셀나무,서울 서초구 청두곶길 38-3 (우)06690,hi,02-9327-4892,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
203,32,에스뷰티샵,서울 동작구 동작대로7길 6 1층 (우)07015,hi,02-1213-3002,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
204,28,아마타헤어,서울 동작구 동작대로29길 29-4 (우)07008,hi,02-0968-9804,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
205,35,나래헤어갤러리,서울 동작구 사당로29가길 17 (우)07007,hi,02-9789-1697,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
206,31,리유헤어,서울 서초구 효령로33길 70 소정빌딩 1층 102호 (우)06665,화~일 10:00 ~ 20:00,010-4941-3233,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
207,34,하선정,서울 서초구 효령로29길 78 (우)06682,hi,02-5823-1511,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
208,27,헤어갤러리,서울 서초구 서초대로 115 (우)06588,hi,02-4338-0154,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
209,35,올리브미용실,서울 서초구 방배천로2안길 120 (우)06677,hi,02-7415-7007,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
210,35,안나미용실,서울 동작구 사당로20길 45 (우)07016,hi,02-8285-8637,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
211,31,나래미용실,서울 동작구 사당로29가길 52 (우)07008,hi,02-3382-8327,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
212,27,라움헤어,서울 동작구 사당로26길 67 (우)07014,hi,02-1399-1440,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
213,29,더나은미용실,서울 동작구 사당로27길 90 (우)07007,hi,02-2236-4347,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
214,35,제이원헤어,서울 동작구 동작대로35가길 1 1층 1호 (우)06996,hi,02-8530-1883,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
215,33,정홍섭열펌헤어,서울 서초구 서초대로25길 37 아이알빌딩 2층 (우)06586,수~일 10:00 ~ 19:30,010-8965-6348,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
216,29,이영주헤어,서울 동작구 사당로17가길 8 (우)07004,hi,02-3323-2417,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
217,30,W헤어 사당점,서울 동작구 사당로 206 2층 (우)07009,매일 10:00 ~ 21:00,02-587-7989,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
218,28,브로우 푸,서울 관악구 남부순환로 2054 (우)08805,hi,02-5832-4367,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
219,27,그림채헤어,서울 서초구 방배로27길 31 1층 (우)06572,hi,02-4519-3897,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
220,35,헤베니케,서울 동작구 사당로22길 15 (우)07012,hi,02-1378-7927,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
221,31,장은미용실,서울 동작구 사당로27길 19 (우)07006,hi,02-1208-8000,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
222,26,거리의멋쟁이,서울 동작구 동작대로13길 10 (우)07014,hi,02-1963-9630,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
223,30,참빗헤어 본점,서울 서초구 방배로33길 16 1층 (우)06562,hi,02-591-5060,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
224,29,나를위한,서울 서초구 효령로33길 35 1층 102호 (우)06665,화요일,010-3147-5727,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
225,31,다미헤어,서울 서초구 서초대로1길 34 (우)06566,hi,02-4968-4005,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
226,34,로얄살롱엠 방배점,서울 서초구 방배로13길 18 방배대림아크로타워 207호 (우)06683,매일 10:30 ~ 20:00,02-585-1226,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
227,34,듀바리미용실,서울 서초구 방배로27길 19-1 (우)06572,hi,02-8237-1314,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
228,28,로위 방배점,서울 서초구 효령로 120 3층 (우)06695,매일 10:30 ~ 21:00,02-9069-0502,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
229,35,러블리하우스 더룸 본점,서울 동작구 사당로 200 2층 (우)07009,hi,02-7255-5901,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
230,31,민헤어샵,서울 서초구 방배중앙로25길 37 105호 (우)06559,hi,02-0357-7204,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
231,33,미소헤어,서울 동작구 동작대로33길 29 (우)06997,hi,02-5069-0943,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
232,34,헤어미용실,서울 동작구 동작대로33길 29 (우)06997,hi,02-4032-5288,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
233,34,이시스헤어,서울 서초구 방배로15길 20 (우)06682,hi,02-6712-1017,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
234,30,살롱에이 방배역2호점,서울 서초구 방배로13길 7 2층 (우)06686,일 10:30 ~ 08:00,02-8409-2068,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
235,34,라인헤어,서울 동작구 동작대로33길 17 (우)06997,hi,02-9723-0905,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
236,30,헤어킹,서울 서초구 방배중앙로27길 12 (우)06554,hi,02-9325-8619,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
237,35,예쁠래,서울 동작구 동작대로33다길 9 1층 (우)06996,hi,02-1570-1872,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
238,31,감성헤어 방배점,서울 서초구 효령로31길 36 1층 (우)06686,hi,02-582-8039,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
239,33,머리나라,서울 동작구 사당로 252 (우)07012,hi,02-0026-6132,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
240,26,샾아이엔지 방배점,서울 서초구 방배중앙로 14 으뜸빌딩 101호 (우)06687,hi,02-522-5173,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
241,26,마샬,서울 동작구 동작대로39길 22 (우)06993,hi,02-6335-8578,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
242,30,씨에프헤어,서울 동작구 동작대로3길 35 (우)07025,hi,02-0135-4478,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
243,28,머리이야기,서울 동작구 동작대로35길 33 1층 (우)06996,hi,02-3320-6974,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
244,34,지니헤어라인,서울 동작구 동작대로3길 40 (우)07015,hi,02-1787-1178,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
245,33,라인헤어,서울 동작구 사당로16가길 42 (우)07010,hi,02-6054-9157,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
246,30,살롱드리베르떼,서울 서초구 효령로 22 101호 (우)06698,hi,02-3217-3832,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
247,28,환희헤어샵,서울 동작구 동작대로35가길 35 (우)06996,hi,02-1016-5968,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
248,32,민Je헤어 남성역,서울 동작구 사당로13길 6 2층 (우)07004,수요일,02-535-0403,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
249,30,토니앤가이 방배점,서울 서초구 방배중앙로 204 방배리첸시아 1층 (우)06552,매일 10:00 ~ 19:30,02-1655-4851,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
250,28,헤어캐슬,서울 서초구 동광로11길 109 (우)06554,hi,02-8261-6345,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
